HSCODE,DESCRIPTION,CD,RD,SD,VAT,AIT,AT,FIXED
2041010,"Fresh/Chilled Lamb Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2041090,"Fresh Or Chilled Lamb Carcasses And Half Carcasses, Nes",25,3,10,0,5,0,45.8
2042110,"Fresh Or Chilled Sheep Carcasses & Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2042190,"Fresh Or Chilled Sheep Carcasses & Half Carcasses, Nes",25,3,10,0,5,0,45.8
2042210,"Fresh Or Chilled Other Cuts Of Meat Of Sheep, With Bone In, Wrapped/Canned upto 2",25,3,10,15,5,5,73.96
2042290,"Fresh Or Chilled Other Cuts Of Meat Of Sheep,With Bone In, Nes",25,3,10,0,5,0,45.8
2042310,"Fresh Or Chilled Boneless Meat Of Sheep, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2042390,"Fresh Or Chilled Boneless Meat Of Sheep, Nes",25,3,10,0,5,0,45.8
2043010,"Frozen Lamb Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2043090,"Frozen Lamb Carcasses And Half Carcasses, Nes",25,3,10,0,5,0,45.8
2044110,"Frozen Sheep Carcasses And Half Carcasses, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2044190,"Frozen Sheep Carcasses And Half Carcasses, Nes",25,3,10,0,5,0,45.8
2044210,"Frozen Other Cuts Of Meat Of Sheep, With Bone In, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2044290,"Frozen Other Cuts Of Meat Of Sheep, Bone In, Nes",25,3,10,0,5,0,45.8
2044310,"Frozen Meat Of Sheep, Boneless, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2044390,"Frozen Meat Of Sheep, Boneless, Nes",25,3,10,0,5,0,45.8
2045010,"Fresh, Chiled Or Frozen Goat Meat, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2045090,"Fresh, Chiled Or Frozen Goat Meat, Nes",25,3,10,0,5,0,45.8
2050010,"Meat Of Horses,Asses,Mules/Hinnies, Fersh, Chilled Or Frozen, Wrapped/Canned upto",25,3,0,15,5,5,58.6
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
2050090,"Meat Of Horses,Asses,Mules Or Hinnies, Fresh,Chilled Or Frozen, Nes",25,3,0,0,5,0,33
2061010,"Fresh Or Chilled Edible Offal Of Bovine Animal, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2061090,"Fresh Or Chilled Edible Offal Of Bovine Animals, Nes",25,3,10,0,5,0,45.8
2062110,"Frozen Bovine Tongues, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2062190,"Frozen Bovine Tounge, Nes",25,3,10,0,5,0,45.8
2062210,"Frozen Bovine Livers, Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2062290,"Frozen Bovine Livers, Nes",25,3,10,0,5,0,45.8
2062910,"Frozen Edible Bovine Offal (Excl. Tongues And Livers), Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2062990,"Frozen Edible Bovine Offal (Excl. Tongues And Livers), Nes",25,3,10,0,5,0,45.8
2063010,"Fresh Or Chilled Edible Swine Offal, Wrapped/Canned upto 2.5 kg",25,0,0,15,5,5,55
2063090,"Fresh Or Chilled Edible Swine Offal, Nes",25,0,0,0,5,0,30
2064110,"Frozen Swine Livers, Wrapped/Canned upto 2.5 kg",25,0,0,15,5,5,55
2064190,"Frozen Swine Livers, Nes",25,0,0,0,5,0,30
2064910,"Frozen Edible Swine Offal(Excl. Livers), Wrapped/Canned upto 2.5 kg",25,0,0,15,5,5,55
2064990,"Frozen Edible Swine Offal, Excl. Livers, Nes",25,0,0,0,5,0,30
2068010,"Fresh Or Chilled Edible Offal Of Sheep,Goats,Horses.., Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2068090,"Fresh Or Chilled Edible Offal Of Sheep,Goats,Horses..., Nes",25,3,10,0,5,0,45.8
2069010,"Frozen Edible Offal Of Sheep,Goats,Horses.., Wrapped/Canned upto 2.5 kg",25,3,10,15,5,5,73.96
2069090,"Frozen Edible Offal Of Sheep,Goats,Horses..., Nes",25,3,10,0,5,0,45.8
2071110,"Fresh/Chilled Meat&Edible Offal Of Fowls Not Cut Inpieces, Wrapped/Canned upto 2.5",25,0,0,15,5,5,55
2071190,"Fresh Or Chilled Meat&Edible Offal Of Fowls Not Cut Inpieces, Nes",25,0,0,15,5,0,48.75
2071210,"Frozen Meat&Edible Offal Of Fowls Not Cut Inpieces, Wrapped/Canned upto 2.5 kg",25,0,0,15,5,5,55
2071290,"Frozen Meat & Edible Offals Of Fowls Not Cut Inpieces, Nes",25,0,0,15,5,0,48.75
2071310,"Fresh Or Chilled Cuts And Offal Of Meat Fowls, Wrapped/Canned upto 2.5 kg",25,0,0,15,5,5,55
2071390,"Fresh Or Chilled Cuts And Offal Of Chickens, Nes",25,0,0,15,5,5,55
2071410,"Frozen Cuts And Offal Of Chicken, Wrapped/Canned upto 2.5 kg",25,0,10,15,5,5,70
2071490,"Frozen Cuts And Offal Meat Of Fowls, Nes",25,0,0,15,5,5,55
2072410,"Fresh/Chilled Meat&Edible Offal Of Turkeys Not Cut Inpieces, Wrapped/Canned upto",25,0,10,15,5,5,70
2072490,"Fresh Or Chilled Meat & Edible Offal Of Trukeys Not Cut Inpieces, Nes",25,0,10,0,5,0,42.5
2072510,"Frozen Meat & Edible Offal Of Turkeys Not Cut Inpieces, Wrapped/Canned upto 2.5 kg",25,0,10,15,5,5,70
2072590,"Frozen Meat & Edible Offal Of Turkeys Not Cut Inpieces, Nes",25,0,10,0,5,0,42.5
2072610,"Fresh Or Chilled Cuts And Offal Of Meat Of Turkeys, Wrapped/Canned upto 2.5 kg",25,0,10,15,5,5,70
2072690,"Fresh Or Chilled Cuts And Offal Of Meat Of Trukeys, Nes",25,0,10,0,5,0,42.5
2072710,"Frozen Cuts And Offal Of Meat Of Turkeys, Wrapped/Canned upto 2.5 kg",25,0,10,15,5,5,70
2072790,"Frozen Cuts And Offal Of Meat Of Turkeys, Nes",25,0,10,0,5,0,42.5
2074110,"Meat and edible offal of not cut in pieces, fresh or chilled of ducks wrapped/canned",25,0,10,15,5,5,70
2074190,"Other meat and edible offal of not cut in pieces, fresh or chilled of ducks",25,0,10,0,5,0,42.5
2074210,"Meat and edible offal of not cut in pieces, frozen of ducks wrapped/canned upto 2.5 k",25,0,10,15,5,5,70
2074290,"Other meat and edible offal of not cut in pieces, frozen of ducks",25,0,10,0,5,0,42.5
2074310,"Meat and edible offal of fatty livers, fresh or chilled of ducks wrapped/canned upto",25,0,10,15,5,5,70
2074390,"Other meat and edible offal of fatty livers, fresh or chilled of ducks",25,0,10,0,5,0,42.5
2074410,Other meat and edible offal of fresh or chilled of ducks wrapped/canned upto 2.5 kg,25,0,10,15,5,5,70
2074490,"Other, meat and edible offal of fresh or chilled of ducks nes.",25,0,10,0,5,0,42.5
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
2074510,Other frozen meat and edible offal of ducks wrapped/canned upto 2.5 Kg,25,0,10,15,5,5,70
2074590,"Other, frozen meat and edible offal of ducks nes,",25,0,10,0,5,0,42.5
2075110,"Meat and edible offal not cut in pieces, fresh or chilled of geese wrapped/canned upto",25,0,10,15,5,5,70
2075190,"Other meat and edible offal not cut in pieces, fresh or chilled of geese",25,0,10,0,5,0,42.5
2075210,"Meat and edible offal not cut in pieces, frozen of ducks wrapped/canned upto 2.5 Kg",25,0,10,15,5,5,70
2075290,"Other meat and edible offal not cut in pieces, frozen of geese",25,0,10,0,5,0,42.5
2075310,"Meat and edible offal fatty livers, fresh or chilled of geese wrapped/canned upto 2.5 K",25,0,10,15,5,5,70
2075390,"Other meat and edible offal fatty livers, fresh or chilled of geese",25,0,10,0,5,0,42.5
2075410,Other meat and edible offal fresh or chilled of geese wrapped/canned upto 2.5 Kg,25,0,10,15,5,5,70
2075490,"Other meat and edible offal fresh or chilled of geese, nes",25,0,10,0,5,0,42.5
2075510,Other meat and edible offal frozen geese wrapped/canned upto 25 k,25,0,10,15,5,5,70
2075590,"Other meat and edible offal frozen of geese nes,",25,0,10,0,5,0,42.5
2076010,Meat and edible offal of guinea fowls wrapped/canned upto 2.5 Kg,25,0,10,15,5,5,70
2076090,Meat and edible offal of guinea fowls EXCL. wrapped/canned upto 2.5 Kg,25,0,10,0,5,0,42.5
2081010,"Fresh,Chill. Or Froz.Meat And Edible Offal Of Rabbits,Hares, Wrapped/Canned upto 2.",25,3,0,15,5,5,58.6
2081090,"Fresh,Chilled Or Froz.Meat And Edible Offal Of Rabbits Or Hares, Nes",25,3,0,0,5,0,33
2083010,"OTHER MEAT&EDIBLE MEAT OFFAL,FRESH,CHILLED OR FROZEN OF PRIMATES,Wrap./C",25,3,0,15,5,5,58.6
2083090,"OTHER MEAT&EDIBLE MEAT OFFAL,FRESH,CHILLED OR FROZEN OF PRIMATES, Nes",25,3,0,0,5,0,33
2084010,"OTHER MEAT & EDIBLE MEAT OFFAL OF WHALES,..(MAMMALS OF THE SUBORDER PIN",25,3,0,15,5,5,58.6
2084090,"WHALES DOLPHINS & PORPOISES,.. MANATEES AND DUGONGS, Nes",25,3,0,0,5,0,33
2085010,"PEPTILES (INCLUDING SNAKES AND TURTLES), WRAPPED/CANNED upto 2.5 kg",25,3,0,15,5,5,58.6
2085090,"REPTILES (INCLUDING SNAKES AND TURLTES), Nes",25,3,0,0,5,0,33
2086010,Meat and edible meat offal of camels and other camelids ( Camelidae) Wrapped/cann,25,3,0,15,5,5,58.6
2086090,Other meat and edible meat offal of camels and other camelids ( Camelidae),25,3,0,15,5,5,58.6
2089010,"Fresh,Chilled Or Frozen Meat And Edible Offal, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2089090,"Fresh,Chilled Or Frozen Meat And Edible Offal, Nes",25,3,0,0,5,0,33
2091010,"Pig fat not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, d",25,3,0,15,5,5,58.6
2091090,"Other pig fat not rendered or otherwise extracted, fresh, chilled, frozen, salted, in br",25,3,0,15,5,5,58.6
2099010,"Free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chi...ed",25,3,0,15,5,5,58.6
2099090,Poultry fat free of lean meat excl.wrapped/canned upto 2.5 kg,25,3,0,0,5,0,33
2101110,"Hams,Shoulders & Cuts Thereof Bone In,Salted..Or Smoked,Wrapp/Can upto 2.5 kg",25,3,0,15,5,5,58.6
2101190,"Swine Hams, Shoulders And Cuts Thereof,Bone In Salted..Or Smoked, Nes",25,3,0,0,5,0,33
2101210,"Bellies And Cuts Thereof Of Swine,Salted.. Or Smoked,Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2101290,"Bellies & Cuts Thereof Swine,Salted.. Or Smoked, Nes",25,3,0,0,5,0,33
2101910,"Meat Of Swine,Salted... Or Smoked, Nes, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2101990,"Meat Of Swine,Salted.. Or Smoked,Nes, (excl. wrapped/canned upto 2.5 kg)",25,3,0,0,5,0,33
2102010,"Meat Of Bovine Animals,Salted... Or Smoked, Wrapped/Canned upto 2.5 kg",25,3,0,15,5,5,58.6
2102090,"Meat Of Bovine Animals, Salted... Or Smoked, Nes",25,3,0,0,5,0,33
2109110,"OTHER,INCLUDING EDIBLE FLOURS&MEALS OF MEAT OR MEAT OFFAL OF PRI..,Wrap/C",25,3,0,15,5,5,58.6
2109190,"OTHER,INCLUDING EDIBLE FLOURS&MEALS OF MEAT OR MEAT OFFAL OF PRIMATES, N",25,3,0,0,5,0,33
2109210,"MEAT & EDIBLE MEAT OFFAL OF WHALES,DOLPHINS..OF SEAL,SEA LIONS & WALRUSES",25,3,0,15,5,5,58.6
2109290,"OTHER MEAT & EDIBLE MEAT..OF SEALS,SEA LIONS & WALRUSES(MAMMALS OF SUBO",25,3,0,0,5,0,33
2109310,"REPTILES (INCLUDING SNAKES AND TURTLES), WRAPPED/CANNED upto 2.5 kg",25,3,0,15,5,5,58.6
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
2109390,"REPTILES (INCLUDING SNAKES AND TURTLES), Nes",25,3,0,0,5,0,33
2109910,"MEAT AND EDIBLE MEAT OFFAL,SALTED,IN BRINE,DRIED OR SMOKED,OTHER, Wrap/Ca",25,3,0,15,5,5,58.6
2109990,"MEAT AND EDIBLE MEAT OFFAL,SALTED,IN BRINE,DRIED OR SMOKED,OTHER, Nes",25,3,0,0,5,0,33
3011100,"Ornamental fish, Freshwater",25,3,0,0,5,0,33
3011900,Ornamental fish Excl. Freshwater,25,3,0,0,5,0,33
3019110,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apach.) fry",0,0,0,0,0,0,-
3019190,"Live Trout(Salmo Trutta,Onc'Ync'Mykiss,Clarki,Ag'Ab'Ta,Gilae,Apa.)(Ex.fry)",25,3,0,0,5,0,33
3019210,Live Eels Fry,0,0,0,0,0,0,-
3019290,"Live Eels, Excl. Fry",25,3,0,0,5,0,33
3019310,"CARP(CYPRINUS CARPIO, CARASSIUS,CTENOPHARYNGODON IDELLUS,....MYLOPHARYN",0,0,0,0,0,0,-
3019390,"OTHER CARP(CYPRINUS CARPIO, CARASSIUS,CTENOPHARYNGODON IDELLUS,..MYLOP",25,3,0,0,5,0,33
3019410,"ATLANTIC & PACIFIC BLUEFIN TUNAS(THUNNUS THYNNUS, THUNNUS ORIENTALIS) FRY",0,0,0,0,5,0,5
3019490,"OTHER ATLANTIC & PACIFIC BLUEFIN TUNAS(THUNNUS THYNNUS, THUNNUS ORIENTA",25,3,0,0,5,0,33
3019510,Southern bluefin tunas (Thunnus maccoyii) Fry,0,0,0,0,5,0,5
3019590,"Southern bluefin tunas (Thunnus maccoyii), Excl. Fry",25,3,0,0,5,0,33
3019910,"Other Live Fish (Excl. Trout,Eels & Carps) Fry",0,0,0,0,0,0,-
3019990,"Other Live Fish,(Excl.Trout, Eels & Carps) Excl. Fry",25,3,0,0,5,0,33
3021110,Fresh Or Chill. Trout (Excl. Livers & Roes) Wrapped/Canned upto 2.5 kg,25,3,0,15,5,5,58.6
3021190,"Fresh Or Chill. Trout (Excl. Livers & Roes),Nes",25,3,0,0,5,0,33
3021310,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha . rhodurus), Wrapped/",25,3,10,15,5,5,73.96
3021390,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha . rhodurus), Excl. Wrap",25,3,10,0,5,0,45.8
3021410,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) Wrapped/canned up,25,3,10,15,5,5,73.96
3021490,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho) EXCL. Wrapped/cann,25,3,10,0,5,0,45.8
3021910,"FISH...RUHI,KATLA,MRIGEL,PANGASH,KARP AND ALIKE WRAPPED/CANNED UPTO 2.5K",25,3,0,15,5,5,58.6
3021990,"Fish...ruhi,katla,......,pangash, karp & alike, excl. wrapped/canned upto 2.5kg Other",25,3,10,0,5,0,45.8
3022110,Fresh Or Chilled Halibut (Excl. Livers & Roes) Wrapped/Canned upto 2.5kg,25,3,0,15,5,5,58.6
3022190,"Fresh Or Chilled Halibut (Excl. Livers & Roes),NES",25,3,0,0,5,0,33
3022210,Fresh Or Chilled Plaice (Excl.Livers & Roes) Wrapped/Canned upto 2.5kg,25,3,0,15,5,5,58.6
3022290,"Fresh Or Chilled Plaice (Excl. Livers & Roes),nes",25,3,0,0,5,0,33
3022310,Fresh Or Chilled Sole (Excl. Livers & Roes) Wrapped/Canned upto 2.5kg,25,3,0,15,5,5,58.6
3022390,"Fresh Or Chilled Sole (Excl. Livers & Roes) ,nes",25,3,0,0,5,0,33
3022410,Turbots (Psetta maxima) Wrapped/canned upto 2.5 Kg,25,3,0,15,5,5,58.6
3022490,Other Turbots (Psetta maxima),25,3,0,0,5,0,33
3022910,"Fresh Or Chilled,Oth.Flat Fish(Excl.Livers & Roes),Wrapped/Canned upto 2.5kg",25,3,0,15,5,5,58.6
3022990,"Fresh Or Chilled,Oth.Flat Fish(Excl.Livers & Roes),nes",25,3,0,0,5,0,33
3023110,Fresh/Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes)Wra/Can upto 2.5kg,25,3,10,15,5,5,73.96
3023190,"Fresh Or Chilled Albacore Or Longfinned Tunas(Excl.Livers & Roes),nes",25,3,10,0,5,0,45.8
3023210,Fresh Or Chilled Yellowfin Tunas (Excl.Livers & Roes)Wrapped/Canned upto 2.5kg,25,3,10,15,5,5,73.96
3023290,"Fresh Or Chilled Yellowfin Tunas (Excl. Livers & Roes),nes",25,3,10,0,5,0,45.8
3023310,Fresh/Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes)Wr/Ca upto 2.5kg,25,3,0,15,5,5,58.6
3023390,"Fresh Or Chilled Skipjack Or Stripe-Bellied Bonito(Ex.Livers & Roes),nes",25,3,0,0,5,0,33
3023410,BIGEYE TUNAS (THUNNUS OBESUS) EXCLUDING WRAPPED/CANNED upto 2.5kg,25,3,10,15,5,5,73.96
3023490,"BIGEYE TUNAS (THUNNSU OBESUS),nes.",25,3,10,0,5,0,45.8
,,,,,,,,
HSCODE,TARRIFF_DESCRIPTION,CD,RD,SD,VAT,AIT,AT,TTI
3023510,"ATLANTIC & PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS,THUNNUS ORI.)WRAPPED/",25,3,10,15,5,5,73.96
3023590,OTHER ATLANTIC & PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS..)EXCL WRAPPED/C,25,3,10,0,5,0,45.8
3023610,SOUTHEM BLUEFIN TUNAS (THUNNUS MACCOYII) WRA/CANN UPTO 2.5KG,25,3,10,15,5,5,73.96
3023690,"SOUTHEM BLUEFIN TUNAS (THUNNUS MACCOYII),NES",25,3,10,0,5,0,45.8
3023910,"Fresh Or Chilled Tunas, Nes, (Excl. Livers & Roes) Wrapped/Canned Upto 2.5kg",25,3,10,15,5,5,73.96
3023990,"Fresh Or Chilled Tunas, Nes,(Excl.Livers & Roes),nes",25,3,10,0,5,0,45.8
3024110,"Herrings (Clupea harengus, Clupea pallasi, Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3024190,"Herrings (Clupea harengus, Clupea pallasi, EXCL. Wrapped/canned upto 2.5 Kg",25,3,0,0,5,0,33
3024210,"Anchovies (Engraulis spp), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3024290,"Anchovies (Engraulis spp), EXCL. Wrapped/canned upto 2.5 Kg",25,3,0,0,5,0,33
3024310,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus)Wr",25,3,0,15,5,5,58.6
3024390,"Sardines ( Sardina pilachardus), sardinella (Sardinella spp), brisling . sprattus) E",25,3,0,0,5,0,33
3024410,"Mackerel ( Scomber scombrus, Scomber australasicus, Scomber japonicus), Wrapped/",25,3,0,15,5,5,58.6
3024490,"Mackerel ( Scomber scombrus, Scomber australasicus, Scomber japonicus), EXCL. Wra",25,3,0,0,5,0,33
3024510,"Jack and horse mackerel (Trachurus spp), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3024590,"Jack and horse mackerel (Trachurus spp), EXCL. Wrapped/canned upto 2.5 Kg",25,3,0,0,5,0,33
3024610,"cobia (Rachycentron canadum), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3024690,"cobia (Rachycentron canadum), EXCL.Wrapped/canned upto 2.5 Kg",25,3,0,0,5,0,33
3024710,"swordfish (Xiphias gladius), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3024790,"swordfish (Xiphias gladius), EXCL. Wrapped/canned upto 2.5 Kg",25,3,0,0,5,0,33
3024910,Other Wrapped/canned upto 2.5 kg,25,3,0,15,5,5,58.6
3024990,Other excl. Wrapped/canned upto 2.5 kg,25,3,0,15,5,5,58.6
3025110,"Fish of the families Bregmacerotidae, Euclichthyidae,..:, Cod (Gadus morhua, ...), Wr",25,3,0,15,5,5,58.6
3025190,"Fish of the families Bregmacerotidae, Euclichthyidae,..:, Cod (Gadus morhua, ...), EX",25,3,0,0,5,0,33
3025210,"Haddock (Melanogrammus aeglefinus), Wrapped/canned upto 2.5 Kg",25,0,0,15,5,5,55
3025290,"Haddock (Melanogrammus aeglefinus), EXCL. Wrapped/canned upto 2.5 Kg",25,0,0,0,5,0,30
3025310,"Coalfish (Pollachius virens), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3025390,"Coalfish (Pollachius virens), EXCL. Wrapped/canned upto 2.5 Kg",25,0,0,0,5,0,30
3025410,"Hake (Merluccius spp, Urophycis spp), Wrapped/canned upto 2.5 Kg",25,0,0,15,5,5,55
3025490,"Hake (Merluccius spp, Urophycis spp), EXCL. Wrapped/canned upto 2.5 Kg",25,0,0,0,5,0,30
3025510,"Alaska Pollack (Theraga chalcogramma), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3025590,"Alaska Pollack (Theraga chalcogramma), EXCL. Wrapped/canned upto 2.5 Kg",25,0,0,0,5,0,30
3025610,"Blue whitings (Micromesistius poutassou, Micromesistius australis), Wrapped/canned",25,0,0,15,5,5,55
3025690,"Blue whitings (Micromesistius poutassou, Micromesistius australis), EXCL. Wrapped/c",25,0,0,0,5,0,30
3025910,"Other than Blue whitings , Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
3025990,"Other than Blue withing, EXCL. Wrapped/canned upto 2.5 Kg",25,3,0,0,5,0,33
3027110,"Tilapias (Oreochromis spp), Wrapped/canned upto 2.5 Kg",25,3,0,15,5,5,58.6
